Sr.No,Name,Mobile,Email,Industry,Address,PotentialAmount,Owner,Source,Sales,Interest,Information,Status,LossReason,BPChannelCode,BPChannelName,BPChannelContact,Stages
1,q,1234567890.0,asd@gmail.com,Agriculture,"Malhar Shrushti, near Sinhgad Law college, Ambegaon, Pune, Maharashtra, India.",24000.0,wewdsv,Cold Call,qwsfsd,0.0,,Open,,q,f,131.0,"[{""id"": 1, ""startDate"": ""2025-11-10"", ""closingDate"": ""2025-11-10"", ""salesEmployee"": """", ""stage"": ""Lead"", ""percent"": 0, ""potentialAmount"": 24000, ""weightedAmount"": 0, ""showBPsDocs"": false, ""documentType"": ""Sales Quotation"", ""docNo"": """", ""owner"": """"}]"
2,Saurabh,987654321.0,a@gmail.com,commercial ,"Malhar Shrushti, near Sinhgad Law college, Ambegaon, Pune, Maharashtra, India.",0.0,,,,,,Open,,,,,"[{""id"": 1, ""startDate"": ""2025-11-11"", ""closingDate"": ""2025-11-11"", ""salesEmployee"": """", ""stage"": ""Lead"", ""percent"": 0, ""potentialAmount"": 0.0, ""weightedAmount"": 0.0, ""showBPsDocs"": false, ""documentType"": ""Sales Quotation"", ""docNo"": """", ""owner"": """"}]"
3,Dnyaneshwar Vitthal Markad,987654321.0,a@gmail.com,commercial ,"Malhar Shrushti, near Sinhgad Law college, Ambegaon ,Ambegaon, Pune, Maharashtra, India.",15000000.0,uhbhuhb,Web,okm,23.0,,Open,,qwe,r,1234567890.0,"[{""id"": 1, ""startDate"": ""2025-11-11"", ""closingDate"": ""2025-11-11"", ""salesEmployee"": """", ""stage"": ""Lead"", ""percent"": 0, ""potentialAmount"": 0.0, ""weightedAmount"": 0.0, ""showBPsDocs"": false, ""documentType"": ""Sales Quotation"", ""docNo"": """", ""owner"": """"}]"
4,Rushi Mandhule,9848489393.0,rushi@123.com,Drugs,"Kedgoan, Ahilyanagar, Maharashtra",35000000.0,Harshal Bhuskar,Web,Harish Mhaske,0.0,kkjkjakakfjjff,Open,,Pavan,Pavan,Dondon,"[{""id"": 1.0, ""startDate"": ""2025-11-11"", ""closingDate"": ""2025-11-11"", ""salesEmployee"": ""asdf"", ""stage"": ""Lead"", ""percent"": 25.0, ""potentialAmount"": 35000000.0, ""weightedAmount"": 20000000.0, ""showBPsDocs"": true, ""documentType"": ""Sales Quotation"", ""docNo"": ""123"", ""owner"": ""Harshal""}, {""id"": NaN, ""startDate"": null, ""closingDate"": null, ""salesEmployee"": null, ""stage"": null, ""percent"": NaN, ""potentialAmount"": NaN, ""weightedAmount"": NaN, ""showBPsDocs"": null, ""documentType"": null, ""docNo"": null, ""owner"": null}]"
5,Rushi Mandhule,7897645321.0,,commercial ,,10000000.0,Me,Cold Call,Harhal,0.0,jkjfkjdalkjlka,Lost,,sdfad,adfdf,adfdf,"[{""id"": 1, ""startDate"": ""2025-11-11"", ""closingDate"": ""2025-11-11"", ""salesEmployee"": """", ""stage"": ""Lead"", ""percent"": 0, ""potentialAmount"": 10000000, ""weightedAmount"": 0, ""showBPsDocs"": false, ""documentType"": ""Sales Quotation"", ""docNo"": """", ""owner"": """"}]"
6,Saurabh P,9370934515.0,sa@gmail.com,Commercial,Ahilyanagar,982000.0,Harshal Bauskar,Referral,Pavan Raje,100.0,friends ,Open,,sa,cbcabj,csba,"[{""id"": 1, ""startDate"": ""2025-11-11"", ""closingDate"": ""2025-11-11"", ""salesEmployee"": ""Pavan Raje"", ""stage"": ""Lead"", ""percent"": 100, ""potentialAmount"": 982000.0, ""weightedAmount"": 1234.0, ""showBPsDocs"": false, ""documentType"": ""Sales Quotation"", ""docNo"": ""sa"", ""activities"": ""sakxa"", ""owner"": ""Harshal""}]"
7,Saurabh P,7483857590.0,,Automation,,24012.0,Harshal Bahuskar,Referral,,,,Won,,,,,"[{""id"": 1.0, ""startDate"": ""2025-11-11"", ""closingDate"": ""2025-11-11"", ""salesEmployee"": """", ""stage"": ""Lead"", ""percent"": 0.0, ""potentialAmount"": 24012, ""weightedAmount"": null, ""showBPsDocs"": false, ""documentType"": ""Sales Quotation"", ""docNo"": """", ""owner"": """"}, {""id"": NaN, ""startDate"": null, ""closingDate"": null, ""salesEmployee"": null, ""stage"": null, ""percent"": NaN, ""potentialAmount"": 24012, ""weightedAmount"": null, ""showBPsDocs"": null, ""documentType"": null, ""docNo"": null, ""owner"": null}]"
8,Vineet Don,8473987630.0,vineet@.com,Automation,"tarakpur bus stand, sawedi, ahilyanagar, Maharashtra, India 414005",12010000.0,Amol Pawar,Web,Amol Pawar,40.0,,Won,,BP_1101,Chacha ,csba,"[{""id"": 1, ""startDate"": ""2025-11-12"", ""closingDate"": ""2025-11-12"", ""salesEmployee"": """", ""stage"": ""Lead"", ""percent"": """", ""potentialAmount"": 12010000, ""weightedAmount"": 4804000.0, ""showBPsDocs"": false, ""documentType"": ""Sales Quotation"", ""docNo"": """", ""owner"": """"}]"
9,Veshnov Haral,9966885577.0,vh@gmail.com,Wholesale,"Kedgaon , Ahilyanar, with 15 acer of Pomogranet farm",45000000.0,Rushi Mandhule,Other,Rushi Mandhule,45.0,very little but very rich 🤑🫰,Open,,PM_001,Pavan Markad,Saurabh sir,"[{""id"": 1.0, ""startDate"": ""2025-11-12"", ""closingDate"": ""2025-11-12"", ""salesEmployee"": """", ""stage"": ""Lead"", ""percent"": """", ""potentialAmount"": 45000000, ""weightedAmount"": 20250000.0, ""showBPsDocs"": true, ""documentType"": ""Sales Quotation"", ""docNo"": ""cc_999"", ""owner"": """"}, {""id"": NaN, ""startDate"": null, ""closingDate"": null, ""salesEmployee"": null, ""stage"": null, ""percent"": null, ""potentialAmount"": 45000000, ""weightedAmount"": 20250000.0, ""showBPsDocs"": null, ""documentType"": null, ""docNo"": null, ""owner"": null}]"
10,om,1234567890,sdc@qsd.com,Other,,1240000.0,,Cold Call,,25.0,,Open,,,,,"[{""id"": 1.0, ""startDate"": ""2025-11-13"", ""closingDate"": ""2025-11-13"", ""salesEmployee"": """", ""stage"": ""Lead"", ""percent"": """", ""potentialAmount"": 1240000.0, ""weightedAmount"": 310000.0, ""showBPsDocs"": false, ""documentType"": ""Sales Quotation"", ""docNo"": """", ""owner"": """"}, {""id"": 2.0, ""startDate"": ""2025-11-13"", ""closingDate"": ""2025-11-14"", ""salesEmployee"": null, ""stage"": ""Lead Generation"", ""percent"": null, ""potentialAmount"": 5500000.0, ""weightedAmount"": 1200000.0, ""showBPsDocs"": null, ""documentType"": null, ""docNo"": null, ""owner"": null}]"
